"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000143452.16",43.9267195063724,-8.77765970813196,1.3429873011804,-6.53592159837768,6.32190282033485e-11,2.14806763466214e-08,"HORMAD1","84072"
"ENSG00000115468.13",57.2041472520724,-6.69663825439007,1.02766566390386,-6.51635886028448,7.20345241216993e-11,2.40389497640414e-08,"EFHD1","80303"
"ENSG00000140835.10",47.4538268949778,-4.9838294739941,0.768562455387415,-6.48461219912423,8.8960302418309e-11,2.91664935367256e-08,"CHST4","10164"
"ENSG00000134193.15",49645.0066664986,2.11864157454512,0.327523978291517,6.46866096826472,9.88751543302269e-11,3.18582566228152e-08,"REG4","83998"
"ENSG00000073756.13",1637.4884698246,2.41299147537831,0.377228560903736,6.39662985643889,1.58843750904226e-10,5.03130850321726e-08,"PTGS2","5743"
"ENSG00000154188.10",61.5446573520168,-5.36848306413922,0.841013070146492,-6.38335271436877,1.73252226784757e-10,5.39622935692257e-08,"ANGPT1","284"
"ENSG00000173597.9",418.715327588255,2.24490585556126,0.354440705206142,6.33365700549443,2.39417434651254e-10,7.33480822747973e-08,"SULT1B1","27284"
"ENSG00000078596.11",1105.36862211626,-8.85508924451457,1.39889753690938,-6.3300484923852,2.45084162676421e-10,7.38731101951121e-08,"ITM2A","9452"
"ENSG00000138642.16",739.385841102729,-1.94111105838892,0.308338103281976,-6.2953979340457,3.06612255303963e-10,9.0951902017785e-08,"HERC6","55008"
"ENSG00000230392.1",69.2143649135404,-3.16582746579862,0.503400553363302,-6.2888835632921,3.1975718015691e-10,9.33690966058178e-08,"LOC101928336","101928336"
"ENSG00000026508.21",2820.691966435,-2.3637346571681,0.376052409272644,-6.28565220932904,3.26480107950436e-10,9.38655424211962e-08,"CD44","960"
"ENSG00000221867.9",644.063139088225,-8.36682589790571,1.33805807460409,-6.25296170375964,4.02740923174537e-10,1.1403670261039e-07,"MAGEA3","4102"
"ENSG00000171346.16",234.334323831475,-2.37670152597906,0.380264185098326,-6.25013245821324,4.10104728428981e-10,1.14388614401206e-07,"KRT15","3866"
"ENSG00000007372.25",89.1691872019101,-7.92864336845613,1.273350511698,-6.22659927146323,4.7666824037638e-10,1.30999648178732e-07,"PAX6","5080"
"ENSG00000184254.17",453.091482668723,-2.45814344797105,0.396884002472678,-6.19360677844473,5.88028198992655e-10,1.59261898301083e-07,"ALDH1A3","220"
"ENSG00000171401.15",122.594554804161,-4.372676756837,0.707301602320344,-6.18219546299935,6.32161830365119e-10,1.68769146940905e-07,"KRT13","3860"
"ENSG00000272620.2",72.2409781397949,-3.71674191975865,0.603100287158318,-6.16272616494871,7.1503098074733e-10,1.88204210819804e-07,"AFAP1-AS1","84740"
"ENSG00000157601.15",2193.11913391442,-2.27691931674971,0.371178706271764,-6.13429401600056,8.55381940028293e-10,2.22019134656232e-07,"MX1","4599"
"ENSG00000260103.2",58.8762789799067,-3.18703438495156,0.520186958125685,-6.12670951312379,8.97150474604348e-10,2.29670521498713e-07,NA,NA
"ENSG00000187608.10",2214.22200628218,-1.76988551629112,0.289274151683202,-6.1183673203868,9.4538948535005e-10,2.38749171651645e-07,"ISG15","9636"
"ENSG00000205426.11",194.071197404263,-7.71599112512935,1.26689973619972,-6.09045128407304,1.12592843137302e-09,2.80551340339988e-07,"KRT81","3887"
"ENSG00000186377.8",60.7166287982547,-4.73920249624002,0.778815764714527,-6.08513940132833,1.16389997969825e-09,2.86196879218434e-07,"CYP4X1","260293"
"ENSG00000131067.17",77.7571898556588,-2.89025064985407,0.477981136779978,-6.04678809989209,1.477618903138e-09,3.58620026777181e-07,"GGT7","2686"
"ENSG00000188816.4",37.7801267925984,-5.35387598334292,0.886125512559352,-6.04189350996067,1.52315988272553e-09,3.64933485748393e-07,"HMX2","3167"
"ENSG00000126709.16",7565.5833002419,-1.91760298597399,0.317915874176361,-6.03179375972342,1.62149638364424e-09,3.8357625844992e-07,"IFI6","2537"
"ENSG00000198842.10",357.315467556071,-3.58964359310009,0.595576354454553,-6.02717613997218,1.6684913680443e-09,3.89759583575149e-07,"STYXL2","92235"
"ENSG00000105137.13",33.9218959274866,-4.6833963197561,0.778271122187791,-6.01769253186556,1.76920829034902e-09,4.08184747284475e-07,"SYDE1","85360"
"ENSG00000091592.16",39.9262527634236,-6.1700049205174,1.02753542294707,-6.00466395875799,1.91728580595956e-09,4.36954111485027e-07,"NLRP1","22861"
"ENSG00000251003.9",36.1063378760331,-5.61274357069856,0.936851164181424,-5.99107284624309,2.0846123157552e-09,4.69364276588351e-07,NA,NA
"ENSG00000110080.20",242.02055695434,-2.58242042766512,0.434072408145188,-5.9492849100912,2.69316493201801e-09,5.99165074399434e-07,"ST3GAL4","6484"
"ENSG00000185745.10",1303.90052553345,-1.6927927698859,0.285141081675679,-5.93668495587491,2.90842775513253e-09,6.39443504563727e-07,"IFIT1","3434"
"ENSG00000167653.5",1479.05345884138,-3.26634711707222,0.551345920330322,-5.9243153828277,3.13601094982278e-09,6.8146247244521e-07,"PSCA","8000"
