"control_S0_L001_quant","control_S64_L001_quant","control_S40_L001_quant","case_S110_L001_quant","case_S65_L001_quant","case_S52_L001_quant"
"ENSG00000008128.23",649,529,726,1042,1320,746
"ENSG00000008130.15",1009,964,1000,2299,1881,996
"ENSG00000008196.13",0,2,0,0,1,0
"ENSG00000008197.5",0,0,0,0,0,0
"ENSG00000008226.20",8,8,6,9,17,14
"ENSG00000008256.16",475,315,370,386,385,345
"ENSG00000008277.15",39,40,63,26,33,32
"ENSG00000008282.9",3414,4994,4884,3567,4143,6405
"ENSG00000008283.16",1166,1087,1000,2153,1300,753
"ENSG00000008294.22",2431,2040,2340,1581,2191,2920
"ENSG00000008300.17",191,93,150,184,252,161
"ENSG00000008311.16",200,180,210,78,218,219
"ENSG00000008323.16",444,228,169,485,360,258
"ENSG00000008324.12",425,529,696,395,551,618
"ENSG00000008382.16",164,166,234,402,234,163
"ENSG00000008394.13",2760,3890,4341,5491,3974,3013
"ENSG00000008405.12",1310,1091,1104,694,1020,1478
"ENSG00000008438.5",0,1,0,0,0,0
"ENSG00000008441.19",124,114,111,284,161,162
"ENSG00000008513.16",299,318,303,1923,805,483
"ENSG00000008516.18",9,9,0,12,1,10
"ENSG00000008517.19",327,338,419,1082,109,539
"ENSG00000008710.20",588,467,490,466,724,426
"ENSG00000008735.14",12,9,13,21,24,34
"ENSG00000008838.21",536,435,392,909,809,404
"ENSG00000008853.18",159,85,56,251,234,155
"ENSG00000008869.12",313,350,361,397,485,351
"ENSG00000008952.17",4393,5586,6105,4649,4505,6355
"ENSG00000008988.11",53512,71969,101059,53199,78326,70577
"ENSG00000009307.17",9181,8284,8544,11593,8204,7870
"ENSG00000009335.18",1370,1172,1021,2479,1541,969
"ENSG00000009413.16",335,394,441,201,337,512
"ENSG00000009694.13",2,1,2,29,126,1090
"ENSG00000009709.12",0,0,0,0,0,0
"ENSG00000009724.17",10,3,2,1,20,7
"ENSG00000009765.15",13,5,16,34,18,36
"ENSG00000009780.16",212,281,294,134,212,300
"ENSG00000009790.15",1,2,0,4,1,5
"ENSG00000009830.13",247,139,151,251,294,233
"ENSG00000009844.16",1384,2027,2256,1804,1746,2000
"ENSG00000009950.16",62,70,98,117,168,248
"ENSG00000009954.11",1058,870,981,2070,1228,822
"ENSG00000010017.13",1375,1487,1716,1154,1338,1750
"ENSG00000010030.14",40,35,33,103,84,34
"ENSG00000010072.16",187,274,281,251,338,317
"ENSG00000010165.20",427,395,338,786,698,432
"ENSG00000010219.14",270,318,376,213,213,207
"ENSG00000010244.19",3716,3809,4276,3612,4090,4584
"ENSG00000010256.11",3152,2898,2754,6389,4036,1970
"ENSG00000010270.14",1092,962,955,656,1255,1462
"ENSG00000010278.15",7056,5691,5855,10657,6493,5686
"ENSG00000010282.15",0,0,0,0,0,0
"ENSG00000010292.13",727,771,726,1797,1080,641
"ENSG00000010295.20",9,0,3,6,11,5
"ENSG00000010310.9",128,34,108,60,51,74
"ENSG00000010318.22",127,98,102,168,205,90
"ENSG00000010319.7",19,21,21,76,71,8
"ENSG00000010322.16",873,863,861,1107,1276,767
"ENSG00000010327.10",4,0,0,3,8,9
"ENSG00000010361.14",1,3,1,9,7,8
"ENSG00000010379.16",4,0,0,0,0,4
"ENSG00000010404.18",296,161,220,514,191,209
"ENSG00000010438.17",3812,2205,2789,2687,2589,1695
"ENSG00000010539.12",260,241,233,268,264,271
"ENSG00000010610.10",0,1,0,0,1,2
"ENSG00000010626.15",102,60,108,144,56,61
"ENSG00000010671.17",3,2,3,6,7,5
"ENSG00000010704.19",686,865,838,416,658,705
"ENSG00000010803.16",223,131,148,313,253,232
"ENSG00000010810.17",236,99,124,189,108,112
"ENSG00000010818.10",295,277,284,414,272,362
"ENSG00000010932.17",1,0,0,0,0,1
"ENSG00000011007.13",258,232,259,295,281,149
"ENSG00000011009.11",1833,1658,1723,3191,2406,1420
"ENSG00000011021.23",180,165,148,161,348,222
"ENSG00000011028.14",28,12,18,78,166,63
"ENSG00000011052.21",1425,1158,1789,233,1016,1038
"ENSG00000011083.9",1,0,0,0,0,0
"ENSG00000011105.14",79,64,62,264,156,137
"ENSG00000011114.15",509,532,605,570,588,789
"ENSG00000011132.12",183,186,137,239,258,150
"ENSG00000011143.19",159,156,181,192,203,172
"ENSG00000011198.10",502,460,618,415,467,789
"ENSG00000011201.12",0,0,0,1,0,0
"ENSG00000011243.19",1126,644,686,1150,1035,948
"ENSG00000011258.16",654,786,801,394,574,774
"ENSG00000011260.14",1202,1941,1972,1291,2084,2415
